"borrower_id","state","city","zip_code","loan_id","date_of_release","term","interestrate","loanamount","downpayment","payment_frequency","maturity_date","expected_payment_date","expected_payment_amount","date_paid","amount_paid","par_days","cumulative_amount_due","cumulative_amount_paid","amount_at_risk"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-12-16","1271803.806",944,"45784937.016","1465117984.512","-1419333047.496"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-11-16","1271803.806",184,"45784937.016","320494559.112","-274709622.096"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-10-16","1271803.806",153,"45784937.016","274709622.096","-228924685.080"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-06-16","1271803.806",761,"45784937.016","1190408362.416","-1144623425.400"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-08-16","1271803.806",457,"45784937.016","732558992.256","-686774055.240"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-04-16","1271803.806",335,"45784937.016","549419244.192","-503634307.176"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-05-16","1271803.806",365,"45784937.016","595204181.208","-549419244.192"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-06-16","1271803.806",31,"45784937.016","91569874.032","-45784937.016"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-07-16","1271803.806",791,"45784937.016","1236193299.432","-1190408362.416"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-11-16","1271803.806",549,"45784937.016","869913803.304","-824128866.288"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-12-16","1271803.806",214,"45784937.016","366279496.128","-320494559.112"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-07-16","1271803.806",426,"45784937.016","686774055.240","-640989118.224"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-08-16","1271803.806",822,"45784937.016","1281978236.448","-1236193299.432"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2024-04-16","1271803.806",1066,"45784937.016","1648257732.576","-1602472795.560"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-09-16","1271803.806",853,"45784937.016","1327763173.464","-1281978236.448"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-02-16","1271803.806",641,"45784937.016","1007268614.352","-961483677.336"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2024-02-16","1271803.806",1006,"45784937.016","1556687858.544","-1510902921.528"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-09-16","1271803.806",123,"45784937.016","228924685.080","-183139748.064"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-03-16","1271803.806",304,"45784937.016","503634307.176","-457849370.160"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-08-16","1271803.806",92,"45784937.016","183139748.064","-137354811.048"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-11-16","1271803.806",914,"45784937.016","1419333047.496","-1373548110.480"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-02-16","1271803.806",276,"45784937.016","457849370.160","-412064433.144"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-05-16","1271803.806",730,"45784937.016","1144623425.400","-1098838488.384"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-01-16","1271803.806",610,"45784937.016","961483677.336","-915698740.320"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-12-16","1271803.806",579,"45784937.016","915698740.320","-869913803.304"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-10-16","1271803.806",518,"45784937.016","824128866.288","-778343929.272"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-06-16","1271803.806",396,"45784937.016","640989118.224","-595204181.208"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-03-16","1271803.806",669,"45784937.016","1053053551.368","-1007268614.352"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-07-16","1271803.806",61,"45784937.016","137354811.048","-91569874.032"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-10-16","1271803.806",883,"45784937.016","1373548110.480","-1327763173.464"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-01-16","1271803.806",245,"45784937.016","412064433.144","-366279496.128"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2023-04-16","1271803.806",700,"45784937.016","1098838488.384","-1053053551.368"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2024-03-16","1271803.806",1035,"45784937.016","1602472795.560","-1556687858.544"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2024-01-16","1271803.806",975,"45784937.016","1510902921.528","-1465117984.512"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2021-05-16","1271803.806",0,"45784937.016","45784937.016","0"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-05-16","1271803.806","2022-09-16","1271803.806",488,"45784937.016","778343929.272","-732558992.256"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-06-16","1271803.806","2022-07-16","1271803.806",395,"91569874.032","686774055.240","-595204181.208"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-06-16","1271803.806","2023-12-16","1271803.806",913,"91569874.032","1465117984.512","-1373548110.480"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-06-16","1271803.806","2023-06-16","1271803.806",730,"91569874.032","1190408362.416","-1098838488.384"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-06-16","1271803.806","2023-02-16","1271803.806",610,"91569874.032","1007268614.352","-915698740.320"
"123fd35","dfgc","12olki","19473","09u924rbwf","2021-04-16",36,"1.05","45784937","1200000","1271803.806","2024-04-30","2021-06-16","1271803.806","2023-04-16","1271803.806",669,"91569874.032","1098838488.384","-1007268614.352"
